Module	Section	Sample Name	Source
RSeQC	infer_experiment	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/infer_experiment/Minus_cre_p53mut.infer_experiment.txt
RSeQC	infer_experiment	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/infer_experiment/Plus_cre_p53mut.infer_experiment.txt
RSeQC	bam_stat	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/bam_stat/Plus_cre_p53mut.bam_stat.txt
RSeQC	bam_stat	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/bam_stat/Minus_cre_p53mut.bam_stat.txt
Salmon	all_sections	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/pseudoalignment/Plus_cre_p53mut/libParams/flenDist.txt
Salmon	all_sections	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/pseudoalignment/Minus_cre_p53mut/libParams/flenDist.txt
Samtools	stats	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/samtools/stats/Minus_cre_p53mut.markdup.sorted.bam.stats
Samtools	stats	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/samtools/stats/Plus_cre_p53mut.markdup.sorted.bam.stats
Samtools	flagstat	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/samtools/flagstat/Minus_cre_p53mut.markdup.sorted.bam.flagstat
Samtools	flagstat	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/samtools/flagstat/Plus_cre_p53mut.markdup.sorted.bam.flagstat
Samtools	idxstats	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/samtools/idxstats/Minus_cre_p53mut.markdup.sorted.bam.idxstats
Samtools	idxstats	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/samtools/idxstats/Plus_cre_p53mut.markdup.sorted.bam.idxstats
STAR	SummaryLog	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/star/Plus_cre_p53mut.Log.final.out
STAR	SummaryLog	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/star/Minus_cre_p53mut.Log.final.out
FastQC (raw)	all_sections	Plus_cre_p53mut_2	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/raw/Plus_cre_p53mut_2_fastqc.zip
FastQC (raw)	all_sections	Minus_cre_p53mut_2	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/raw/Minus_cre_p53mut_2_fastqc.zip
FastQC (raw)	all_sections	Minus_cre_p53mut_1	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/raw/Minus_cre_p53mut_1_fastqc.zip
FastQC (raw)	all_sections	Plus_cre_p53mut_1	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/raw/Plus_cre_p53mut_1_fastqc.zip
fastp	all_sections	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/trim_log/Minus_cre_p53mut.fastp.json
fastp	all_sections	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/trim_log/Plus_cre_p53mut.fastp.json
FastQC (trimmed)	all_sections	Plus_cre_p53mut_2	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/trim/Plus_cre_p53mut_2_fastqc.zip
FastQC (trimmed)	all_sections	Minus_cre_p53mut_2	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/trim/Minus_cre_p53mut_2_fastqc.zip
FastQC (trimmed)	all_sections	Minus_cre_p53mut_1	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/trim/Minus_cre_p53mut_1_fastqc.zip
FastQC (trimmed)	all_sections	Plus_cre_p53mut_1	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/fastqc/trim/Plus_cre_p53mut_1_fastqc.zip
